tract_geoid,place_type,place_name,place_dist,place_dir
24003702300,neighbourhood,Heather Woods,,
24003702300,hamlet,Tara,,
24003702300,neighbourhood,Riva Farms,,
24003702300,hamlet,Rutland Estates,,
24003702300,neighbourhood,Lake of the Pines,,
24003702300,hamlet,Hanson Hills,,
24003702300,hamlet,Glen Isle,,
24003702300,hamlet,Arrowhead Farms Estates,,
24003702300,hamlet,Hambleton,,
24003702300,hamlet,Gravely,,
24003702300,hamlet,Rutland,,
24003702602,hamlet,Oyster Harbor,,
24003702602,hamlet,Watergate,,
24003702602,hamlet,Keys Farm,,
24003702602,hamlet,Fishing Creek Farms,,
24003702602,hamlet,Annapolis Roads,,
24003702602,hamlet,Venice Beach,,
24003702602,village,Arundel on the Bay,,
24003702602,hamlet,Walnut Lake,,
24003702602,hamlet,Blackwalnut Cove,,
24003702602,hamlet,Oakwood,,
24003702602,hamlet,Kitty Creek,,
24003702602,village,Highland Beach,,
24003750801,hamlet,Wicklow Woods,,
24003750801,neighbourhood,Ferndale Farms,,
24003750801,hamlet,Allwood,,
24003750801,hamlet,Cromwell Manor,,
24003750801,hamlet,Osborne Heights,,
24003750801,hamlet,Woodlawn Heights,,
24003750801,hamlet,Garland Park,,
24003750801,neighbourhood,Ferdinand Heights,,
24003750801,town,Ferndale,,
24003750801,hamlet,West Dale Park,,
24003750801,hamlet,Garland,,
24003740103,hamlet,Harmans Woods,,
24003740103,hamlet,Greenbriar,,
24003740103,hamlet,Leeds,,
24003740103,hamlet,Lake Village,,
24003740103,hamlet,The Peach Orchard,,
24003740103,hamlet,Severn Woods,,
24003740103,hamlet,Sandridge,,
24003740103,hamlet,Ridgeview,,
24003740103,hamlet,Severn Ridge,,
24003740303,town,Severn,,
24003740303,hamlet,Bonnie Acres,,
24003740303,hamlet,Windswept Estates,,
24003740303,hamlet,Ridgeway,,
24003740303,hamlet,Andorick Acres,,
24003740303,hamlet,Severnsides,,
24003740303,hamlet,Grand View Park,,
24003740303,hamlet,Stewart Corner,,
24003740603,hamlet,Geraghty Village,,
24003740603,village,Fort Meade,,
24003750400,neighbourhood,Crestwood,,
24003750400,hamlet,Nottingham,,
24003750400,neighbourhood,Shirley Estates,,
24003750400,neighbourhood,Twin Oaks,,
24003750400,hamlet,Linthicum Oaks,,
24003750400,hamlet,Shipley,,
24003750400,neighbourhood,Gapgalleon,,
24003750400,neighbourhood,Orchards of Linthicum,,
24003750400,neighbourhood,Benton Terrace,,
24003750400,neighbourhood,Arundel Hills,,
24003706700,locality,Hospital Point,,
24003706700,village,Naval Academy,,
24003750900,hamlet,Meadow Brook,,
24003750900,city,Glen Burnie,,
24003750900,hamlet,Willowdale,,
24003730401,hamlet,Saunders,,
24003730401,hamlet,Brookfield,,
24003730401,hamlet,Somerset,,
24003730401,hamlet,Monroe Gardens,,
24003730401,hamlet,Cohansey Village,,
24003730401,hamlet,Towering Oaks,,
24003730401,hamlet,Glen Burnie Heights,,
24003750803,neighbourhood,Harris Heights,,
24003750803,hamlet,Pleasantville,,
24003750803,hamlet,Woodcrest Gardens,,
24003750803,hamlet,Heritage Hill,,
24003750803,hamlet,Bentwillow Heights,,
24003750803,hamlet,Wellington,,
24003750803,hamlet,Woodcrest,,
24003750803,neighbourhood,Willow,,
24003702601,neighbourhood,Hunt Meadow,,
24003702601,neighbourhood,Annapolis Overlook,,
24003702601,hamlet,Harkness Creek Park,,
24003702601,neighbourhood,Wetheridge Estates,,
24003702601,neighbourhood,Romar Estates,,
24003702601,neighbourhood,Harness Woods,,
24003702601,village,Annapolis Neck,,
24003702601,neighbourhood,Hillsmere Shores,,
24005491401,neighbourhood,Parkside Heights,,
24005491401,neighbourhood,Ashlar Hill,,
24005491600,neighbourhood,Ridgeleigh,,
24005491600,neighbourhood,Baynesville,,
24005491701,neighbourhood,Joppa Heights,,
24005491701,neighbourhood,Satyr Hill Estates,,
24005491701,neighbourhood,Lowell Ridge,,
24005491701,neighbourhood,Cromwell Station,,
24005491701,village,Oakleigh,,
24005491402,neighbourhood,Hillendale,,
24005491500,neighbourhood,Hillendale Park,,
24005491500,neighbourhood,Loch Raven Village,,
24005491500,neighbourhood,Loch Raven Heights,,
24031700828,town,North Potomac,0.9825276587953484,NE
24031700832,suburb,Fox Chapel,,
24031700832,hamlet,Middlebrook Hills,,
24005491900,neighbourhood,Woodcroft,,
24005491900,neighbourhood,Joppa Manor,,
24005492101,neighbourhood,Kings Ridge,,
24005492101,neighbourhood,Villa Cresta,,
24005492101,neighbourhood,Laureldale,,
24005492001,neighbourhood,Oakleigh Manor,,
24005492001,neighbourhood,Hillendale Farms,,
24031700721,village,Whetstone,0.5132023412886112,SW
24031701219,neighbourhood,Spring Lake Park,,
24031706011,neighbourhood,Lake Normandy Estates,,
24031706011,neighbourhood,Fox Hills,,
24031706011,neighbourhood,Pine Knolls,,
24031706013,neighbourhood,Wildwood Hills,,
24031706013,neighbourhood,Emery Corners,,
24031706013,locality,Lelands Corner,,
24031706013,neighbourhood,Bells Mill,,
24031706013,neighbourhood,Deerfield,,
24031706013,neighbourhood,Rose Hill Estates,,
24031706013,neighbourhood,Ashleigh,,
24031706013,neighbourhood,Holly Hill,,
24031706013,neighbourhood,Charred Oak Estates,,
24031706013,neighbourhood,Knollwood,,
24031706013,neighbourhood,Burning Tree Estates,,
24031706012,neighbourhood,Scotland,0.5881687074619862,E
24031703218,village,Leisure World,,
24031701508,neighbourhood,Pine Hill,,
24031701423,neighbourhood,Green Castle Lakes,,
24031701423,neighbourhood,Greencastle Lakes,,
24031703220,hamlet,Homecrest,,
24031703220,neighbourhood,Bel Pre Farms,,
24031704806,neighbourhood,Woodmont Triangle,,
24031704806,neighbourhood,Wisconsin North,,
24031704803,neighbourhood,Arlington South,,
24031704803,neighbourhood,South Bethesda,,
24031704803,neighbourhood,Wisconsin South,,
24001001100,neighbourhood,West Side,,
24009860701,hamlet,Buena Vista Hills,,
24009860701,hamlet,Westfield Station,,
24009860701,hamlet,The Knolls,,
24009860701,hamlet,Quiet Meadows,,
24009860701,hamlet,Meadow Oaks,,
24009860701,hamlet,Buena Vista on the Patuxent,,
24009860701,hamlet,Cedar Beach,,
24009860701,hamlet,Hunters Ridge,,
24009860701,hamlet,Buckler Trailer Park,,
24009860701,hamlet,Buena Vista,,
24009860701,hamlet,Robshire Manor,,
24009860701,hamlet,Cedar Point,,
24009860502,hamlet,Pine View Estates,,
24009860502,hamlet,Wilson,,
24009860502,hamlet,Oldfield,,
24009860502,hamlet,Pendleton,,
24009860502,hamlet,Bellcar,,
24009860502,hamlet,Carpenter Beach,,
24009860502,hamlet,Breezy Point,,
24009860502,hamlet,Angelica,,
24009860502,hamlet,Fairview Estates,,
24009860502,neighbourhood,Bayview Manor Estates,,
24009860502,hamlet,Plum Point,,
24009860502,hamlet,Chesapeake Heights on the Bay,,
24009860502,hamlet,Dares Beach,,
24009860502,hamlet,Windcliff,,
24009860801,hamlet,Chippingwood,,
24009860801,hamlet,Halls Hacienda,,
24009860801,hamlet,Cape Leonard,,
24009860801,hamlet,Hellen,,
24009860801,hamlet,Wallville Acres,,
24009860801,hamlet,Wells Cove,,
24009860801,hamlet,Ross Woods,,
24009860801,hamlet,Emerald Cove,,
24009860801,hamlet,Blue Dolphin Estates,,
24009860801,hamlet,Island Creek,,
24009860801,hamlet,Long Cove Estates,,
24009860801,hamlet,Mutual Estates,,
24009860801,hamlet,Briscoe,,
24009860801,hamlet,Olde Mill,,
24009860801,hamlet,Mutual Consent,,
24009860801,hamlet,Nostalgia,,
24009860801,hamlet,Harbor Hills,,
24009860801,hamlet,Wallville,,
24009860801,hamlet,Matapeake,,
24009860801,hamlet,Hillside Manor,,
24009860801,hamlet,Lancaster Hill,,
24009860801,hamlet,Another Place,,
24009860801,hamlet,Mackall Estates,,
24009860801,hamlet,Williams Wharf,,
24009860801,hamlet,Home Place,,
